coin,px,sz,side,time,startPosition,dir,closedPnl,hash,oid,crossed,fee,tid,feeToken,twapId,usd
ETH,3280.0,0.0153,B,2025-12-09 16:22:29.316,80985.8204,Open Long,0.0,0x3fa1a87a5dfbb950411b04310f9c9b0209c8005ff8fed822e36a53cd1cff933a,263739989715,False,0.002007,902833158029868,USDC,,50.184
ETH,3280.0,0.0037,B,2025-12-09 16:22:29.007,80985.8167,Open Long,0.0,0x0000000000000000000000000000000000000000000000000000000000000000,263739989715,False,0.000485,436801779541151,USDC,,12.136000000000001
ETH,3280.0,1.3013,B,2025-12-09 16:22:26.504,80984.5154,Open Long,0.0,0xe649c56ab181de2ce7c304310f9c79020a9300504c84fcfe8a1270bd7085b817,263739989715,False,0.17073,257983563412270,USDC,,4268.264
ETH,3280.0,6.0975,B,2025-12-09 16:22:26.504,80978.4179,Open Long,0.0,0x80a2d8347e6f5935821c04310f9c79020a91001a19627807246b83873d633320,263739989715,False,0.799992,559420560003877,USDC,,19999.8
ETH,3280.0,1.2,B,2025-12-09 16:22:26.303,80977.2179,Open Long,0.0,0x7d6bd65417304f007ee504310f9c770206300039b2336dd2213481a6d63428eb,263739989715,False,0.15744,881580249973585,USDC,,3936.0
ETH,3280.0,12.2406,B,2025-12-09 16:22:26.303,80964.9773,Open Long,0.0,0x68aed073caefeeb86a2804310f9c77020623005965e30d8a0c777bc689e3c8a3,263739989715,False,1.605966,265682747338580,USDC,,40149.168000000005
ETH,3280.0,10.0,B,2025-12-09 16:22:26.303,80954.9773,Open Long,0.0,0x50346ca27e3c274551ae04310f9c770206200088193f4617f3fd17f53d30012f,263739989715,False,1.312,856497983416334,USDC,,32800.0
ETH,3280.0,7.6,B,2025-12-09 16:22:26.173,80947.3773,Open Long,0.0,0x61f971b9eeefac0e637304310f9c76020c28009f89e2cae005c21d0cade385f9,263739989715,False,0.99712,136281361939481,USDC,,24928.0
ETH,3280.0,0.609,B,2025-12-09 16:22:26.173,80946.7683,Open Long,0.0,0xaaf56aae581c3a6eac6f04310f9c76020c260101f31f59404ebe160117101459,263739989715,False,0.0799,1018739630782074,USDC,,1997.52
ETH,3280.0,259.075,B,2025-12-09 16:22:26.173,80687.6933,Open Long,0.0,0x6ee4b952a5fdec49705e04310f9c76020bc1003840f10b1b12ad64a564f1c634,263739989715,False,33.99064,566401448355060,USDC,,849766.0
ETH,3280.0,0.1826,B,2025-12-09 16:22:26.173,80687.5107,Open Long,0.0,0x566a5581594a24d657e404310f9c76020bbe0066f44d43a8fa3300d4184dfec0,263739989715,False,0.023957,473309208631777,USDC,,598.928
ETH,3280.0,0.1826,B,2025-12-09 16:22:26.173,80687.3281,Open Long,0.0,0xa396dee63fb8e25aa51004310f9c76020bbd00cbdabc012c475f8a38febcbc45,263739989715,False,0.023957,929880478874613,USDC,,598.928
